TARİH,SAAT,CEH.3 ÜST2 SET ISI_FARK
2024-11-01,22:33:48,413
2024-11-01,22:34:48,391
2024-11-01,22:35:48,353
2024-11-01,22:36:48,316
2024-11-01,22:37:48,284
2024-11-01,22:39:48,236
2024-11-01,22:40:48,217
2024-11-01,22:41:48,199
2024-11-01,22:42:48,182
2024-11-01,22:43:48,166
2024-11-01,22:44:48,151
2024-11-01,22:45:48,136
2024-11-01,22:46:48,122
2024-11-01,22:47:48,108
2024-11-01,22:48:48,95
2024-11-01,22:50:48,71
2024-11-02,00:03:48,65
2024-11-04,22:24:59,193
2024-11-04,22:26:00,178
2024-11-04,22:28:00,150
2024-11-04,22:29:00,136
2024-11-04,22:30:00,124
2024-11-04,22:31:00,112
2024-11-04,22:32:00,100
2024-11-04,22:33:00,89
2024-11-04,22:34:00,79
2024-11-04,22:35:00,69
2024-11-04,22:22:59,225
2024-11-04,22:36:00,59
2024-11-04,22:21:59,244
2024-11-04,22:20:00,293
2024-11-04,22:21:00,265
2024-11-04,22:15:00,398
2024-11-04,22:16:00,398
2024-11-04,22:17:00,391
2024-11-04,22:19:00,326
2024-11-04,10:59:04,72
2024-11-04,10:57:04,86
2024-11-05,22:18:01,224
2024-11-05,22:19:01,206
2024-11-05,22:20:01,189
2024-11-05,22:21:01,173
2024-11-05,22:22:00,158
2024-11-05,22:23:00,144
2024-11-05,22:24:00,130
2024-11-05,22:25:01,117
2024-11-05,22:27:00,91
2024-11-05,22:29:01,68
2024-11-05,22:30:00,58
2024-11-05,22:17:01,243
2024-11-05,22:16:01,266
2024-11-05,22:14:01,329
2024-11-05,22:15:01,294
2024-11-05,22:10:01,405
2024-11-05,22:11:01,405
2024-11-05,22:12:01,397
2024-11-05,22:13:01,368
2024-11-06,22:56:29,428
2024-11-06,22:58:28,425
2024-11-06,22:59:28,407
2024-11-06,23:00:28,370
2024-11-06,23:01:28,331
2024-11-06,23:02:28,299
2024-11-06,23:04:28,252
2024-11-06,23:05:28,233
2024-11-06,23:06:28,216
2024-11-06,23:08:28,183
2024-11-06,23:09:28,168
2024-11-06,23:11:28,140
2024-11-06,23:13:28,113
2024-11-06,23:14:28,101
2024-11-06,23:15:28,89
2024-11-06,23:16:28,78
2024-11-06,23:17:28,66
2024-11-06,23:18:28,55
2024-11-06,23:10:28,153
