TARİH,SAAT,CEH.2 ALT1 SET ISI_FARK
2024-11-01,22:33:48,387
2024-11-01,22:34:48,367
2024-11-01,22:35:48,333
2024-11-01,22:36:48,299
2024-11-01,22:37:48,270
2024-11-01,22:39:48,224
2024-11-01,22:40:48,204
2024-11-01,22:41:48,185
2024-11-01,22:42:48,168
2024-11-01,22:43:48,151
2024-11-01,22:44:48,134
2024-11-01,22:45:48,118
2024-11-01,22:46:48,103
2024-11-01,22:47:48,89
2024-11-01,22:48:48,76
2024-11-01,22:50:48,51
2024-11-04,11:01:04,56
2024-11-04,22:24:59,164
2024-11-04,22:26:00,148
2024-11-04,22:28:00,115
2024-11-04,22:29:00,100
2024-11-04,22:30:00,85
2024-11-04,22:31:00,70
2024-11-04,22:32:00,57
2024-11-04,22:22:59,202
2024-11-04,22:21:59,224
2024-11-04,22:20:00,274
2024-11-04,22:21:00,247
2024-11-04,22:15:00,375
2024-11-04,22:16:00,376
2024-11-04,22:17:00,368
2024-11-04,22:19:00,305
2024-11-04,11:00:04,84
2024-11-04,10:59:04,117
2024-11-04,10:57:04,132
2024-11-05,22:18:01,208
2024-11-05,22:19:01,189
2024-11-05,22:20:01,170
2024-11-05,22:21:01,152
2024-11-05,22:22:00,135
2024-11-05,22:23:00,118
2024-11-05,22:24:00,102
2024-11-05,22:25:01,87
2024-11-05,22:27:00,58
2024-11-05,22:17:01,229
2024-11-05,22:16:01,252
2024-11-05,22:14:01,311
2024-11-05,22:15:01,279
2024-11-05,22:10:01,383
2024-11-05,22:11:01,384
2024-11-05,22:12:01,375
2024-11-05,22:13:01,347
2024-11-06,22:56:29,401
2024-11-06,22:58:28,403
2024-11-06,22:59:28,383
2024-11-06,23:00:28,349
2024-11-06,23:01:28,314
2024-11-06,23:02:28,284
2024-11-06,23:04:28,236
2024-11-06,23:05:28,215
2024-11-06,23:06:28,196
2024-11-06,23:08:28,160
2024-11-06,23:09:28,143
2024-11-06,23:11:28,110
2024-11-06,23:13:28,81
2024-11-06,23:14:28,67
2024-11-06,23:15:28,53
2024-11-06,23:10:28,126
2024-11-07,22:18:00,194
2024-11-07,22:19:00,174
2024-11-07,22:19:59,155
2024-11-07,22:20:59,138
2024-11-07,22:22:00,120
2024-11-07,22:23:00,104
2024-11-07,22:23:59,89
2024-11-07,22:25:00,74
2024-11-07,22:26:00,59
2024-11-07,22:17:00,214
2024-11-07,22:14:59,264
2024-11-07,22:13:00,331
2024-11-07,22:14:00,296
2024-11-07,22:10:00,369
2024-11-07,22:11:00,369
2024-11-07,22:12:00,360
2024-11-08,05:15:19,100
2024-11-08,06:30:05,214
2024-11-08,06:31:05,216
2024-11-08,06:32:05,205
2024-11-08,06:34:05,143
2024-11-08,06:35:05,117
2024-11-08,06:36:05,96
2024-11-08,06:38:05,60
2024-11-08,04:22:44,96
2024-11-08,04:23:44,70
2024-11-08,06:33:05,173
2024-11-10,23:36:46,146
2024-11-10,23:35:46,166
2024-11-10,23:34:46,166
2024-11-10,23:33:47,156
2024-11-10,23:30:18,107
2024-11-10,23:24:57,58
2024-11-10,23:14:57,136
2024-11-10,23:20:57,86
2024-11-10,23:19:57,93
2024-11-10,23:17:57,110
2024-11-10,23:16:57,118
2024-11-10,23:15:57,127
2024-11-10,23:21:57,78
2024-11-10,23:18:57,101
2024-11-10,23:40:36,116
2024-11-10,23:13:57,145
2024-11-10,23:38:37,121
2024-11-10,23:45:36,52
2024-11-10,23:43:36,77
2024-11-10,23:42:36,91
2024-11-10,23:41:36,97
2024-11-10,23:12:57,154
2024-11-10,23:39:36,129
2024-11-10,23:10:57,173
2024-11-10,22:50:57,423
2024-11-10,22:49:57,441
2024-11-10,22:48:57,459
2024-11-10,22:47:57,478
2024-11-10,22:46:57,499
2024-11-10,22:45:57,521
2024-11-10,22:51:57,406
2024-11-10,22:44:57,544
2024-11-10,22:42:57,592
2024-11-10,22:41:57,619
2024-11-10,22:40:57,647
2024-11-10,22:38:57,696
2024-11-10,22:37:57,713
2024-11-10,23:11:57,164
2024-11-10,22:43:57,567
2024-11-10,22:52:57,390
2024-11-10,22:39:57,674
2024-11-10,22:54:57,360
2024-11-10,22:53:57,375
2024-11-10,23:08:57,193
2024-11-10,23:06:57,213
2024-11-10,23:05:57,224
2024-11-10,23:04:57,235
2024-11-10,23:03:57,247
2024-11-10,23:07:57,203
2024-11-10,23:00:57,281
2024-11-10,22:55:57,346
2024-11-10,23:01:57,269
2024-11-10,22:56:57,332
2024-11-10,23:09:58,183
2024-11-10,22:57:58,319
2024-11-10,22:58:57,306
2024-11-10,22:59:57,293
2024-11-11,22:35:48,399
2024-11-11,22:38:47,346
2024-11-11,23:26:27,59
2024-11-11,22:39:47,313
2024-11-11,22:40:47,285
2024-11-11,22:41:47,260
2024-11-11,22:42:47,238
2024-11-11,22:44:47,198
2024-11-11,22:45:47,181
2024-11-11,22:47:47,149
2024-11-11,22:48:47,134
2024-11-11,22:49:47,120
2024-11-11,22:50:47,107
2024-11-11,22:51:47,94
2024-11-11,22:52:47,82
2024-11-11,22:36:47,399
2024-11-11,22:53:47,70
2024-11-11,23:17:28,197
2024-11-11,23:18:27,201
2024-11-11,23:19:27,205
2024-11-11,23:20:27,206
2024-11-11,23:21:27,181
2024-11-11,23:22:27,149
2024-11-11,23:23:27,121
2024-11-11,23:24:27,98
2024-11-11,23:25:27,78
2024-11-11,22:54:47,58
2024-11-11,03:11:45,238
2024-11-11,03:14:44,242
2024-11-11,03:15:44,244
2024-11-11,03:16:44,245
2024-11-11,03:17:44,246
2024-11-11,03:18:44,248
2024-11-11,03:19:44,238
2024-11-11,03:20:44,207
2024-11-11,03:21:44,174
2024-11-11,03:22:45,146
2024-11-11,03:23:45,122
2024-11-11,03:24:44,102
2024-11-11,03:26:44,65
2024-11-11,03:10:44,236
2024-11-11,03:09:45,235
2024-11-11,03:07:44,231
2024-11-11,02:39:44,188
2024-11-11,02:40:44,190
2024-11-11,02:41:44,191
2024-11-11,02:42:44,193
2024-11-11,02:43:44,195
2024-11-11,02:45:44,199
2024-11-11,02:46:44,200
2024-11-11,02:47:44,201
2024-11-11,02:48:44,203
2024-11-11,02:49:44,205
2024-11-11,02:50:44,206
2024-11-11,02:53:44,210
2024-11-11,02:54:44,212
2024-11-11,02:55:44,213
2024-11-11,02:56:44,215
2024-11-11,02:57:44,216
2024-11-11,02:58:44,218
2024-11-11,02:59:44,219
2024-11-11,03:00:45,221
2024-11-11,03:01:44,223
2024-11-11,03:02:45,224
2024-11-11,03:03:45,226
2024-11-11,03:04:44,227
2024-11-11,03:05:45,228
2024-11-11,03:06:44,230
2024-11-11,03:08:45,233
2024-11-11,02:38:44,187
2024-11-11,02:35:44,182
2024-11-11,02:34:44,180
2024-11-11,02:33:44,179
2024-11-11,02:19:45,157
2024-11-11,02:20:44,158
2024-11-11,02:21:44,160
2024-11-11,02:22:44,164
2024-11-11,02:23:44,166
2024-11-11,02:24:44,169
2024-11-11,02:25:44,173
2024-11-11,02:27:44,179
2024-11-11,02:28:44,180
2024-11-11,02:29:44,177
2024-11-11,02:30:44,176
2024-11-11,02:31:44,177
2024-11-11,02:32:44,178
2024-11-11,02:37:44,185
2024-11-12,22:41:03,368
2024-11-12,22:42:03,333
2024-11-12,22:43:03,302
2024-11-12,22:44:03,276
2024-11-12,22:46:03,233
2024-11-12,22:47:03,214
2024-11-12,22:48:03,197
2024-11-12,22:51:03,149
2024-11-12,22:52:03,134
2024-11-12,22:54:03,106
2024-11-12,22:55:03,93
2024-11-12,22:56:03,80
2024-11-12,22:57:02,69
2024-11-12,22:58:03,57
2024-11-12,22:50:03,164
2024-11-12,23:16:52,86
2024-11-12,23:17:52,84
2024-11-12,23:18:52,60
2024-11-13,22:38:57,406
2024-11-13,22:39:57,383
2024-11-13,22:40:57,348
2024-11-13,22:41:57,314
2024-11-13,22:43:58,261
2024-11-13,22:44:58,239
2024-11-13,22:45:58,219
2024-11-13,22:46:58,201
2024-11-13,22:47:58,183
2024-11-13,22:49:57,150
2024-11-13,22:50:58,134
2024-11-13,22:54:57,78
2024-11-13,22:51:58,119
2024-11-13,22:55:58,66
2024-11-13,22:56:58,54
