TARİH,SAAT,CEH.3 ÜST1 SET ISI_FARK
2024-11-01,22:33:48,402
2024-11-01,22:34:48,373
2024-11-01,22:35:48,330
2024-11-01,22:36:48,290
2024-11-01,22:37:48,258
2024-11-01,22:39:48,209
2024-11-01,22:40:48,188
2024-11-01,22:41:48,169
2024-11-01,22:42:48,152
2024-11-01,22:43:48,135
2024-11-01,22:44:48,119
2024-11-01,22:45:48,104
2024-11-01,22:46:48,89
2024-11-01,22:47:48,75
2024-11-01,22:48:48,62
2024-11-04,22:24:59,162
2024-11-04,22:26:00,146
2024-11-04,22:28:00,116
2024-11-04,22:29:00,102
2024-11-04,22:30:00,88
2024-11-04,22:31:00,75
2024-11-04,22:32:00,62
2024-11-04,22:33:00,51
2024-11-04,22:22:59,197
2024-11-04,22:21:59,216
2024-11-04,22:20:00,267
2024-11-04,22:21:00,239
2024-11-04,22:15:00,389
2024-11-04,22:16:00,389
2024-11-04,22:17:00,378
2024-11-04,22:19:00,303
2024-11-04,10:59:04,70
2024-11-04,10:57:04,91
2024-11-05,22:18:01,196
2024-11-05,22:19:01,177
2024-11-05,22:20:01,159
2024-11-05,22:21:01,142
2024-11-05,22:22:00,126
2024-11-05,22:23:00,111
2024-11-05,22:24:00,96
2024-11-05,22:25:01,83
2024-11-05,22:27:00,56
2024-11-05,22:17:01,217
2024-11-05,22:16:01,241
2024-11-05,22:14:01,306
2024-11-05,22:15:01,270
2024-11-05,22:10:01,396
2024-11-05,22:11:01,396
2024-11-05,22:12:01,384
2024-11-05,22:13:01,348
2024-11-06,22:56:29,415
2024-11-06,22:58:28,415
2024-11-06,22:59:28,390
2024-11-06,23:00:28,348
2024-11-06,23:01:28,307
2024-11-06,23:02:28,274
2024-11-06,23:04:28,225
2024-11-06,23:05:28,205
2024-11-06,23:06:28,186
2024-11-06,23:08:28,152
2024-11-06,23:09:28,136
2024-11-06,23:11:28,106
2024-11-06,23:13:28,78
2024-11-06,23:14:28,65
2024-11-06,23:15:28,52
2024-11-06,23:10:28,120
2024-11-07,22:18:00,183
2024-11-07,22:19:00,164
2024-11-07,22:19:59,147
2024-11-07,22:20:59,130
2024-11-07,22:22:00,114
2024-11-07,22:23:00,99
2024-11-07,22:23:59,85
2024-11-07,22:25:00,71
2024-11-07,22:26:00,57
2024-11-07,22:17:00,204
2024-11-07,22:14:59,256
2024-11-07,22:13:00,334
2024-11-07,22:14:00,292
2024-11-07,22:10:00,381
2024-11-07,22:11:00,380
2024-11-07,22:12:00,369
2024-11-08,05:15:19,107
2024-11-08,06:30:05,229
2024-11-08,06:31:05,228
2024-11-08,06:32:05,209
2024-11-08,06:34:05,133
2024-11-08,06:35:05,104
2024-11-08,06:36:05,80
2024-11-08,04:22:44,94
2024-11-08,04:23:44,57
2024-11-08,06:33:05,170
2024-11-10,23:36:46,160
2024-11-10,23:35:46,183
2024-11-10,23:34:46,182
2024-11-10,23:33:47,170
2024-11-10,23:30:18,111
2024-11-10,23:14:57,116
2024-11-10,23:20:57,69
2024-11-10,23:19:57,77
2024-11-10,23:17:57,92
2024-11-10,23:16:57,100
2024-11-10,23:15:57,108
2024-11-10,23:21:57,63
2024-11-10,23:18:57,84
2024-11-10,23:40:36,131
2024-11-10,23:13:57,124
2024-11-10,23:38:37,135
2024-11-10,23:45:36,60
2024-11-10,23:43:36,85
2024-11-10,23:42:36,99
2024-11-10,23:41:36,116
2024-11-10,23:12:57,132
2024-11-10,23:39:36,146
2024-11-10,23:10:57,150
2024-11-10,22:50:57,371
2024-11-10,22:49:57,385
2024-11-10,22:48:57,401
2024-11-10,22:47:57,416
2024-11-10,22:46:57,433
2024-11-10,22:45:57,451
2024-11-10,22:51:57,357
2024-11-10,22:44:57,470
2024-11-10,22:42:57,515
2024-11-10,22:41:57,544
2024-11-10,22:40:57,578
2024-11-10,22:38:57,642
2024-11-10,22:37:57,662
2024-11-10,23:11:57,141
2024-11-10,22:43:57,491
2024-11-10,22:52:57,344
2024-11-10,22:39:57,613
2024-11-10,22:54:57,319
2024-11-10,22:53:57,331
2024-11-10,23:08:57,168
2024-11-10,23:06:57,187
2024-11-10,23:05:57,197
2024-11-10,23:04:57,207
2024-11-10,23:03:57,217
2024-11-10,23:07:57,177
2024-11-10,23:00:57,248
2024-11-10,22:55:57,306
2024-11-10,23:01:57,238
2024-11-10,22:56:57,294
2024-11-10,23:09:58,159
2024-11-10,22:57:58,282
2024-11-10,22:58:57,271
2024-11-10,22:59:57,260
2024-11-11,22:35:48,403
2024-11-11,22:38:47,327
2024-11-11,23:26:27,63
2024-11-11,22:39:47,287
2024-11-11,22:40:47,254
2024-11-11,22:41:47,227
2024-11-11,22:42:47,204
2024-11-11,22:44:47,165
2024-11-11,22:45:47,148
2024-11-11,22:47:47,116
2024-11-11,22:48:47,101
2024-11-11,22:49:47,87
2024-11-11,22:50:47,74
2024-11-11,22:51:47,61
2024-11-11,22:36:47,399
2024-11-11,23:17:28,206
2024-11-11,23:18:27,211
2024-11-11,23:19:27,215
2024-11-11,23:20:27,215
2024-11-11,23:21:27,187
2024-11-11,23:22:27,152
2024-11-11,23:23:27,122
2024-11-11,23:24:27,99
2024-11-11,23:25:27,80
2024-11-11,03:11:45,240
2024-11-11,03:14:44,246
2024-11-11,03:15:44,248
2024-11-11,03:16:44,249
2024-11-11,03:17:44,251
2024-11-11,03:18:44,253
2024-11-11,03:19:44,240
2024-11-11,03:20:44,203
2024-11-11,03:21:44,165
2024-11-11,03:22:45,135
2024-11-11,03:23:45,111
2024-11-11,03:24:44,91
2024-11-11,03:26:44,56
2024-11-11,03:10:44,239
2024-11-11,03:09:45,237
2024-11-11,03:07:44,233
2024-11-11,02:39:44,168
2024-11-11,02:40:44,171
2024-11-11,02:41:44,174
2024-11-11,02:42:44,176
2024-11-11,02:43:44,179
2024-11-11,02:45:44,184
2024-11-11,02:46:44,186
2024-11-11,02:47:44,189
2024-11-11,02:48:44,191
2024-11-11,02:49:44,193
2024-11-11,02:50:44,196
2024-11-11,02:53:44,203
2024-11-11,02:54:44,205
2024-11-11,02:55:44,207
2024-11-11,02:56:44,210
2024-11-11,02:57:44,212
2024-11-11,02:58:44,214
2024-11-11,02:59:44,216
2024-11-11,03:00:45,218
2024-11-11,03:01:44,221
2024-11-11,03:02:45,223
2024-11-11,03:03:45,225
2024-11-11,03:04:44,227
2024-11-11,03:05:45,229
2024-11-11,03:06:44,231
2024-11-11,03:08:45,235
2024-11-11,02:38:44,166
2024-11-11,02:35:44,158
2024-11-11,02:34:44,155
2024-11-11,02:33:44,152
2024-11-11,02:19:45,112
2024-11-11,02:20:44,114
2024-11-11,02:21:44,117
2024-11-11,02:22:44,120
2024-11-11,02:23:44,123
2024-11-11,02:24:44,126
2024-11-11,02:25:44,129
2024-11-11,02:27:44,135
2024-11-11,02:28:44,138
2024-11-11,02:29:44,141
2024-11-11,02:30:44,143
2024-11-11,02:31:44,146
2024-11-11,02:32:44,149
2024-11-11,02:37:44,163
2024-11-12,22:41:03,380
2024-11-12,22:42:03,338
2024-11-12,22:43:03,302
2024-11-12,22:44:03,272
2024-11-12,22:46:03,227
2024-11-12,22:47:03,208
2024-11-12,22:48:03,190
2024-11-12,22:51:03,142
2024-11-12,22:52:03,128
2024-11-12,22:54:03,101
2024-11-12,22:55:03,89
2024-11-12,22:56:03,77
2024-11-12,22:57:02,65
2024-11-12,22:58:03,54
2024-11-12,22:50:03,158
2024-11-12,23:16:52,92
2024-11-12,23:17:52,89
2024-11-12,23:18:52,63
2024-11-13,22:38:57,423
2024-11-13,22:39:57,393
2024-11-13,22:40:57,351
2024-11-13,22:41:57,315
2024-11-13,22:43:58,263
2024-11-13,22:44:58,244
2024-11-13,22:45:58,226
2024-11-13,22:46:58,210
