TARİH,SAAT,CEH.3 ALT2 SET ISI_FARK
2024-11-10,23:01:57,384
2024-11-10,22:56:57,439
2024-11-10,23:09:58,306
2024-11-10,22:57:58,427
2024-11-10,22:58:57,416
2024-11-10,22:59:57,405
2024-11-11,22:35:48,418
2024-11-11,22:38:47,369
2024-11-11,23:30:27,105
2024-11-11,23:31:27,94
2024-11-11,23:33:27,78
2024-11-11,23:35:27,65
2024-11-11,23:36:27,61
2024-11-11,23:37:27,58
2024-11-11,23:38:27,54
2024-11-11,23:29:27,116
2024-11-11,23:28:27,128
2024-11-11,23:27:27,141
2024-11-11,23:26:27,155
2024-11-11,22:39:47,341
2024-11-11,22:40:47,316
2024-11-11,22:41:47,295
2024-11-11,22:42:47,276
2024-11-11,22:44:47,242
2024-11-11,22:45:47,227
2024-11-11,22:47:47,198
2024-11-11,22:48:47,184
2024-11-11,22:49:47,171
2024-11-11,22:50:47,159
2024-11-11,22:51:47,146
2024-11-11,22:52:47,135
2024-11-11,22:36:47,415
2024-11-11,22:53:47,123
2024-11-11,22:55:47,101
2024-11-11,22:56:47,91
2024-11-11,22:57:47,81
2024-11-11,23:17:28,254
2024-11-11,23:18:27,258
2024-11-11,23:19:27,262
2024-11-11,23:20:27,263
2024-11-11,23:21:27,247
2024-11-11,23:22:27,222
2024-11-11,23:23:27,201
2024-11-11,23:24:27,183
2024-11-11,23:25:27,168
2024-11-11,22:54:47,112
2024-11-11,03:11:45,253
2024-11-11,03:14:44,259
2024-11-11,03:15:44,261
2024-11-11,03:16:44,264
2024-11-11,03:17:44,266
2024-11-11,03:18:44,268
2024-11-11,03:19:44,261
2024-11-11,03:20:44,239
2024-11-11,03:21:44,214
2024-11-11,03:22:45,192
2024-11-11,03:23:45,173
2024-11-11,03:24:44,158
2024-11-11,03:26:44,130
2024-11-11,03:27:45,117
2024-11-11,03:28:44,105
2024-11-11,03:29:44,93
2024-11-11,03:30:44,83
2024-11-11,03:31:44,75
2024-11-11,03:32:44,69
2024-11-11,03:34:44,56
2024-11-11,03:35:44,53
2024-11-11,03:10:44,251
2024-11-11,03:09:45,249
2024-11-11,03:07:44,245
