TARİH,SAAT,CEH.2 ÜST2 SET ISI_FARK
2024-11-01,22:33:48,380
2024-11-01,22:34:48,362
2024-11-01,22:35:48,332
2024-11-01,22:36:48,302
2024-11-01,22:37:48,275
2024-11-01,22:39:48,231
2024-11-01,22:40:48,212
2024-11-01,22:41:48,194
2024-11-01,22:42:48,176
2024-11-01,22:43:48,160
2024-11-01,22:44:48,144
2024-11-01,22:45:48,128
2024-11-01,22:46:48,113
2024-11-01,22:47:48,99
2024-11-01,22:48:48,85
2024-11-01,22:50:48,60
2024-11-04,22:24:59,158
2024-11-04,22:26:00,141
2024-11-04,22:28:00,107
2024-11-04,22:29:00,92
2024-11-04,22:30:00,77
2024-11-04,22:31:00,63
2024-11-04,22:22:59,195
2024-11-04,22:21:59,216
2024-11-04,22:20:00,268
2024-11-04,22:21:00,240
2024-11-04,22:15:00,374
2024-11-04,22:16:00,374
2024-11-04,22:17:00,367
2024-11-04,22:19:00,302
2024-11-04,11:00:04,63
2024-11-04,10:59:04,92
2024-11-04,10:57:04,104
2024-11-05,22:18:01,198
2024-11-05,22:19:01,178
2024-11-05,22:20:01,159
2024-11-05,22:21:01,140
2024-11-05,22:22:00,123
2024-11-05,22:23:00,107
2024-11-05,22:24:00,91
2024-11-05,22:25:01,76
2024-11-05,22:17:01,219
2024-11-05,22:16:01,244
2024-11-05,22:14:01,307
2024-11-05,22:15:01,273
2024-11-05,22:10:01,381
2024-11-05,22:11:01,381
2024-11-05,22:12:01,373
2024-11-05,22:13:01,345
2024-11-06,22:56:29,394
2024-11-06,22:58:28,401
2024-11-06,22:59:28,383
2024-11-06,23:00:28,347
2024-11-06,23:01:28,309
2024-11-06,23:02:28,277
2024-11-06,23:04:28,227
2024-11-06,23:05:28,206
2024-11-06,23:06:28,186
2024-11-06,23:08:28,150
2024-11-06,23:09:28,132
2024-11-06,23:11:28,100
2024-11-06,23:13:28,70
2024-11-06,23:14:28,57
2024-11-06,23:10:28,116
2024-11-07,22:18:00,184
2024-11-07,22:19:00,164
2024-11-07,22:19:59,146
2024-11-07,22:20:59,128
2024-11-07,22:22:00,111
2024-11-07,22:23:00,95
2024-11-07,22:23:59,79
2024-11-07,22:25:00,64
2024-11-07,22:17:00,206
2024-11-07,22:14:59,258
2024-11-07,22:13:00,329
2024-11-07,22:14:00,292
2024-11-07,22:10:00,366
2024-11-07,22:11:00,365
2024-11-07,22:12:00,357
2024-11-08,05:15:19,95
2024-11-08,06:30:05,212
2024-11-08,06:31:05,212
2024-11-08,06:32:05,199
2024-11-08,06:34:05,136
2024-11-08,06:35:05,108
2024-11-08,06:36:05,85
2024-11-08,04:22:44,89
2024-11-08,04:23:44,62
2024-11-08,06:33:05,168
2024-11-10,23:36:46,138
2024-11-10,23:35:46,157
2024-11-10,23:34:46,155
2024-11-10,23:33:47,143
2024-11-10,23:30:18,85
2024-11-10,23:14:57,107
2024-11-10,23:20:57,56
2024-11-10,23:19:57,64
2024-11-10,23:17:57,81
2024-11-10,23:16:57,89
2024-11-10,23:15:57,98
2024-11-10,23:18:57,73
2024-11-10,23:40:36,107
2024-11-10,23:13:57,116
2024-11-10,23:38:37,110
2024-11-10,23:43:36,61
2024-11-10,23:42:36,76
2024-11-10,23:41:36,93
2024-11-10,23:12:57,125
2024-11-10,23:39:36,119
2024-11-10,23:10:57,143
2024-11-10,22:50:57,388
2024-11-10,22:49:57,404
2024-11-10,22:48:57,421
2024-11-10,22:47:57,439
2024-11-10,22:46:57,457
2024-11-10,22:45:57,476
2024-11-10,22:51:57,373
