TARİH,SAAT,CEH.1 ALT1 SET ISI_FARK
2024-11-01,22:33:48,273
2024-11-01,22:34:48,248
2024-11-01,22:35:48,205
2024-11-01,22:36:48,165
2024-11-01,22:37:48,134
2024-11-01,22:39:48,87
2024-11-01,22:40:48,69
2024-11-01,22:41:48,52
2024-11-02,12:32:48,62
2024-11-02,12:26:48,59
2024-11-02,12:27:48,62
2024-11-02,12:28:48,60
2024-11-02,12:29:48,63
2024-11-02,12:30:48,64
2024-11-02,12:31:48,61
2024-11-02,12:33:48,58
2024-11-02,12:34:48,55
2024-11-02,12:35:48,55
2024-11-02,12:36:48,54
2024-11-02,12:38:48,52
2024-11-02,12:39:48,52
2024-11-02,12:40:48,51
2024-11-02,12:25:48,59
2024-11-02,12:24:47,56
2024-11-02,12:23:47,55
2024-11-02,12:22:48,54
2024-11-02,12:20:47,51
2024-11-04,22:21:59,68
2024-11-04,22:20:00,127
2024-11-04,22:21:00,95
2024-11-04,22:15:00,265
2024-11-04,22:16:00,266
2024-11-04,22:17:00,257
2024-11-04,22:19:00,168
2024-11-04,11:00:04,64
2024-11-04,10:59:04,104
2024-11-04,10:57:04,121
2024-11-05,22:17:01,72
2024-11-05,22:16:01,98
2024-11-05,22:14:01,172
2024-11-05,22:15:01,130
2024-11-05,22:10:01,272
2024-11-05,22:11:01,273
2024-11-05,22:12:01,263
2024-11-05,22:13:01,222
2024-11-06,22:56:29,291
2024-11-06,22:58:28,289
2024-11-06,22:59:28,263
2024-11-06,23:00:28,213
2024-11-06,23:01:28,166
2024-11-06,23:02:28,129
2024-11-06,23:04:28,75
2024-11-06,23:05:28,54
2024-11-07,22:17:00,65
2024-11-07,22:14:59,122
2024-11-07,22:13:00,212
2024-11-07,22:14:00,163
2024-11-07,17:32:28,51
2024-11-07,22:10:00,261
2024-11-07,22:11:00,262
2024-11-07,22:12:00,252
2024-11-08,00:48:00,52
2024-11-08,00:06:00,53
2024-11-08,00:11:00,51
2024-11-08,00:12:00,53
2024-11-08,00:14:00,57
2024-11-08,00:15:00,57
2024-11-08,00:16:00,60
2024-11-08,00:18:00,61
2024-11-08,00:19:00,67
2024-11-08,00:20:00,57
2024-11-08,00:21:00,58
2024-11-08,06:30:05,137
2024-11-08,06:31:05,143
2024-11-08,06:32:05,134
2024-11-08,06:34:05,64
2024-11-08,06:33:05,99
2024-11-10,23:36:46,69
2024-11-10,23:35:46,102
2024-11-10,23:34:46,107
2024-11-10,23:33:47,99
2024-11-10,23:30:18,57
2024-11-10,23:10:57,55
2024-11-10,22:50:57,243
2024-11-10,22:49:57,255
2024-11-10,22:48:57,267
2024-11-10,22:47:57,280
2024-11-10,22:46:57,294
2024-11-10,22:45:57,309
2024-11-10,22:51:57,231
2024-11-10,22:44:57,325
2024-11-10,22:42:57,366
2024-11-10,22:41:57,393
2024-11-10,22:40:57,425
2024-11-10,22:38:57,486
2024-11-10,22:37:57,502
2024-11-10,22:43:57,344
2024-11-10,22:52:57,219
2024-11-10,22:39:57,460
2024-11-10,22:54:57,198
2024-11-10,22:53:57,209
2024-11-10,23:08:57,70
2024-11-10,23:06:57,87
2024-11-10,23:05:57,95
2024-11-10,23:04:57,104
2024-11-10,23:03:57,113
2024-11-10,23:07:57,78
2024-11-10,23:00:57,140
2024-11-10,22:55:57,187
2024-11-10,23:01:57,130
2024-11-10,22:56:57,177
2024-11-10,23:09:58,62
2024-11-10,22:57:58,167
2024-11-10,22:58:57,158
2024-11-10,22:59:57,149
2024-11-11,12:21:44,56
2024-11-11,12:24:44,63
2024-11-11,12:26:44,59
2024-11-11,12:27:44,52
2024-11-11,12:35:44,53
2024-11-11,12:36:44,54
2024-11-11,12:20:44,60
2024-11-11,12:25:44,59
2024-11-11,12:45:44,62
2024-11-11,12:40:44,59
2024-11-11,12:41:44,60
2024-11-11,12:42:44,66
2024-11-11,12:43:44,62
2024-11-11,12:44:44,66
2024-11-11,12:46:45,57
2024-11-11,12:47:45,65
2024-11-11,12:48:44,63
2024-11-11,12:49:45,72
2024-11-11,12:50:44,67
2024-11-11,12:52:44,70
2024-11-11,12:19:44,61
2024-11-11,12:18:44,62
2024-11-11,12:14:44,51
2024-11-11,12:53:44,69
2024-11-11,12:05:44,55
2024-11-11,12:08:44,52
2024-11-11,12:10:44,57
2024-11-11,12:11:44,57
2024-11-11,12:12:44,59
2024-11-11,12:13:44,56
2024-11-11,12:17:44,66
2024-11-11,12:54:44,72
2024-11-11,13:12:44,79
2024-11-11,12:56:44,78
2024-11-11,13:35:44,58
2024-11-11,13:36:44,55
2024-11-11,13:37:44,62
2024-11-11,13:38:44,64
2024-11-11,13:39:44,64
2024-11-11,13:40:44,71
2024-11-11,13:41:44,63
2024-11-11,13:42:44,72
2024-11-11,13:43:44,64
2024-11-11,13:44:44,75
2024-11-11,13:45:44,71
2024-11-11,13:46:44,77
2024-11-11,13:47:44,92
2024-11-11,13:48:44,98
2024-11-11,13:49:44,107
2024-11-11,13:52:44,125
2024-11-11,13:53:44,128
2024-11-11,13:54:44,135
2024-11-11,13:55:44,131
2024-11-11,13:57:44,138
2024-11-11,13:59:44,142
2024-11-11,14:00:44,142
2024-11-11,14:01:44,147
2024-11-11,13:31:44,53
2024-11-11,13:30:44,72
2024-11-11,13:29:44,77
2024-11-11,13:28:44,89
2024-11-11,12:57:44,78
2024-11-11,12:58:44,86
2024-11-11,12:59:44,84
2024-11-11,13:00:44,80
2024-11-11,13:01:44,81
2024-11-11,13:02:44,80
2024-11-11,13:03:44,83
2024-11-11,13:04:44,80
2024-11-11,13:06:44,80
2024-11-11,13:08:44,80
2024-11-11,13:09:44,77
2024-11-11,13:10:44,80
2024-11-11,12:55:44,74
2024-11-11,13:11:44,79
2024-11-11,13:13:44,76
2024-11-11,13:14:44,76
2024-11-11,13:16:44,74
2024-11-11,13:17:44,79
2024-11-11,13:18:44,77
2024-11-11,13:19:44,79
2024-11-11,13:20:44,77
2024-11-11,13:21:44,85
2024-11-11,13:23:44,86
2024-11-11,13:24:44,90
2024-11-11,13:26:44,96
2024-11-11,13:27:44,85
2024-11-11,11:16:44,51
2024-11-11,14:02:44,144
2024-11-11,10:33:44,57
2024-11-11,10:34:44,51
2024-11-11,10:38:44,55
2024-11-11,10:41:44,56
2024-11-11,14:03:44,149
2024-11-11,14:06:44,147
2024-11-11,17:01:44,112
