TARİH,SAAT,CEH.1 ÜST1 SET ISI_FARK
2024-11-01,22:33:48,254
2024-11-01,22:34:48,230
2024-11-01,22:35:48,188
2024-11-01,22:36:48,149
2024-11-01,22:37:48,118
2024-11-01,22:39:48,71
2024-11-01,22:40:48,52
2024-11-02,12:32:48,60
2024-11-02,12:26:48,53
2024-11-02,12:27:48,55
2024-11-02,12:28:48,56
2024-11-02,12:29:48,58
2024-11-02,12:30:48,59
2024-11-02,12:31:48,59
2024-11-02,12:33:48,58
2024-11-02,12:34:48,57
2024-11-02,12:35:48,56
2024-11-02,12:36:48,56
2024-11-02,12:38:48,55
2024-11-02,12:39:48,54
2024-11-02,12:40:48,54
2024-11-02,12:42:48,53
2024-11-02,12:43:48,53
2024-11-02,12:44:48,53
2024-11-02,12:45:48,53
2024-11-02,12:25:48,52
2024-11-02,12:24:47,51
2024-11-02,12:46:48,53
2024-11-02,12:47:48,53
2024-11-02,12:48:47,52
2024-11-02,12:49:48,52
2024-11-02,13:19:48,52
2024-11-02,13:20:48,51
2024-11-02,13:18:48,52
2024-11-02,13:17:48,52
2024-11-02,13:15:47,52
2024-11-02,12:50:48,52
2024-11-02,12:51:47,52
2024-11-02,12:53:48,52
2024-11-02,12:55:47,52
2024-11-02,12:57:47,52
2024-11-02,12:58:48,52
2024-11-02,12:59:47,52
2024-11-02,13:02:47,52
2024-11-02,13:16:48,52
2024-11-02,13:04:47,52
2024-11-02,13:07:47,52
2024-11-02,13:08:47,52
2024-11-02,13:09:47,52
2024-11-02,13:10:47,52
2024-11-02,13:11:48,52
2024-11-02,13:12:47,52
2024-11-02,13:13:47,52
2024-11-02,13:14:48,52
2024-11-02,13:06:47,52
2024-11-04,22:21:59,71
2024-11-04,22:20:00,125
2024-11-04,22:21:00,96
2024-11-04,22:15:00,249
2024-11-04,22:16:00,248
2024-11-04,22:17:00,239
2024-11-04,22:19:00,163
2024-11-04,10:59:04,58
2024-11-04,10:57:04,74
2024-11-05,22:18:01,54
2024-11-05,22:17:01,75
2024-11-05,22:16:01,100
2024-11-05,22:14:01,168
