TARİH,SAAT,CEH.2 ALT2 SET ISI_FARK
2024-11-01,22:33:48,395
2024-11-01,22:34:48,374
2024-11-01,22:35:48,341
2024-11-01,22:36:48,307
2024-11-01,22:37:48,277
2024-11-01,22:39:48,228
2024-11-01,22:40:48,206
2024-11-01,22:41:48,186
2024-11-01,22:42:48,167
2024-11-01,22:43:48,150
2024-11-01,22:44:48,133
2024-11-01,22:45:48,116
2024-11-01,22:46:48,101
2024-11-01,22:47:48,85
2024-11-01,22:48:48,71
2024-11-04,22:24:59,171
2024-11-04,22:26:00,153
2024-11-04,22:28:00,120
2024-11-04,22:29:00,104
2024-11-04,22:30:00,89
2024-11-04,22:31:00,74
2024-11-04,22:32:00,60
2024-11-04,22:22:59,209
2024-11-04,22:21:59,230
2024-11-04,22:20:00,281
2024-11-04,22:21:00,254
2024-11-04,22:15:00,382
2024-11-04,22:16:00,382
2024-11-04,22:17:00,374
2024-11-04,22:19:00,313
2024-11-04,11:00:04,70
2024-11-04,10:59:04,101
2024-11-04,10:57:04,116
2024-11-05,22:18:01,214
2024-11-05,22:19:01,194
2024-11-05,22:20:01,174
2024-11-05,22:21:01,156
2024-11-05,22:22:00,139
2024-11-05,22:23:00,122
2024-11-05,22:24:00,106
2024-11-05,22:25:01,90
2024-11-05,22:27:00,60
2024-11-05,22:17:01,235
2024-11-05,22:16:01,259
2024-11-05,22:14:01,320
2024-11-05,22:15:01,288
2024-11-05,22:10:01,390
2024-11-05,22:11:01,390
2024-11-05,22:12:01,382
2024-11-05,22:13:01,355
2024-11-06,22:56:29,404
2024-11-06,22:58:28,410
2024-11-06,22:59:28,392
2024-11-06,23:00:28,359
2024-11-06,23:01:28,325
2024-11-06,23:02:28,293
2024-11-06,23:04:28,243
2024-11-06,23:05:28,222
2024-11-06,23:06:28,203
2024-11-06,23:08:28,166
2024-11-06,23:09:28,148
2024-11-06,23:11:28,114
2024-11-06,23:13:28,84
2024-11-06,23:14:28,69
2024-11-06,23:15:28,55
2024-11-06,23:10:28,131
2024-11-07,22:18:00,198
2024-11-07,22:19:00,178
2024-11-07,22:19:59,159
2024-11-07,22:20:59,141
2024-11-07,22:22:00,124
2024-11-07,22:23:00,107
2024-11-07,22:23:59,91
2024-11-07,22:25:00,75
2024-11-07,22:26:00,60
2024-11-07,22:17:00,220
2024-11-07,22:14:59,272
2024-11-07,22:13:00,339
2024-11-07,22:14:00,304
2024-11-07,22:10:00,374
2024-11-07,22:11:00,374
2024-11-07,22:12:00,366
2024-11-08,05:15:19,98
2024-11-08,06:30:05,217
2024-11-08,06:31:05,217
2024-11-08,06:32:05,205
2024-11-08,06:34:05,143
2024-11-08,06:35:05,116
2024-11-08,06:36:05,92
2024-11-08,06:38:05,52
