TARİH,SAAT,CEH.3 ALT1 SET ISI_FARK
2024-11-01,22:33:48,412
2024-11-01,22:34:48,390
2024-11-01,22:35:48,353
2024-11-01,22:36:48,315
2024-11-01,22:37:48,284
2024-11-01,22:39:48,233
2024-11-01,22:40:48,211
2024-11-01,22:41:48,191
2024-11-01,22:42:48,173
2024-11-01,22:43:48,155
2024-11-01,22:44:48,138
2024-11-01,22:45:48,122
2024-11-01,22:46:48,106
2024-11-01,22:47:48,91
2024-11-01,22:48:48,77
2024-11-04,22:24:59,185
2024-11-04,22:26:00,169
2024-11-04,22:28:00,138
2024-11-04,22:29:00,123
2024-11-04,22:30:00,109
2024-11-04,22:31:00,95
2024-11-04,22:32:00,82
2024-11-04,22:33:00,70
2024-11-04,22:34:00,58
2024-11-04,22:22:59,220
2024-11-04,22:21:59,240
2024-11-04,22:20:00,292
2024-11-04,22:21:00,263
2024-11-04,22:15:00,397
2024-11-04,22:16:00,397
2024-11-04,22:17:00,389
2024-11-04,22:19:00,325
2024-11-04,10:59:04,82
2024-11-04,10:57:04,97
2024-11-05,22:18:01,218
2024-11-05,22:19:01,197
2024-11-05,22:20:01,178
2024-11-05,22:21:01,161
2024-11-05,22:22:00,144
2024-11-05,22:23:00,129
2024-11-05,22:24:00,114
2024-11-05,22:25:01,99
2024-11-05,22:27:00,73
2024-11-05,22:17:01,240
2024-11-05,22:16:01,265
2024-11-05,22:14:01,330
2024-11-05,22:15:01,296
2024-11-05,22:10:01,404
2024-11-05,22:11:01,404
2024-11-05,22:12:01,395
2024-11-05,22:13:01,367
2024-11-06,22:56:29,424
2024-11-06,22:58:28,424
2024-11-06,22:59:28,406
2024-11-06,23:00:28,371
2024-11-06,23:01:28,334
2024-11-06,23:02:28,301
2024-11-06,23:04:28,248
2024-11-06,23:05:28,226
2024-11-06,23:06:28,207
2024-11-06,23:08:28,172
2024-11-06,23:09:28,155
2024-11-06,23:11:28,124
2024-11-06,23:13:28,96
2024-11-06,23:14:28,83
2024-11-06,23:15:28,69
2024-11-06,23:16:28,57
2024-11-06,23:10:28,139
2024-11-07,22:18:00,204
2024-11-07,22:19:00,183
2024-11-07,22:19:59,165
2024-11-07,22:20:59,148
2024-11-07,22:22:00,131
2024-11-07,22:23:00,115
2024-11-07,22:23:59,100
2024-11-07,22:25:00,86
2024-11-07,22:26:00,73
2024-11-07,22:27:00,60
2024-11-07,22:17:00,226
2024-11-07,22:14:59,280
2024-11-07,22:13:00,351
2024-11-07,22:14:00,314
2024-11-07,22:10:00,389
2024-11-07,22:11:00,388
2024-11-07,22:12:00,380
2024-11-08,05:15:19,112
2024-11-08,06:30:05,235
2024-11-08,06:31:05,233
